departamento;municipio;circuito;establecimiento;mesa;electores
ORAN;ORAN;31A;ESCUELA Nº 4145 DR. ROBUSTIANO PATRON COSTAS;2869;348
ORAN;ORAN;31A;ESCUELA Nº 4145 DR. ROBUSTIANO PATRON COSTAS;2870;348
ORAN;ORAN;31A;ESCUELA Nº 4145 DR. ROBUSTIANO PATRON COSTAS;2874;348
ORAN;ORAN;31A;ESCUELA Nº 4275 OSVALDO BURELA;2881;348
ORAN;ORAN;31A;ESCUELA Nº 4275 OSVALDO BURELA;2882;348
ORAN;ORAN;31A;ESCUELA Nº 4275 OSVALDO BURELA;2884;348
ORAN;ORAN;31A;ESCUELA Nº 4275 OSVALDO BURELA;2888;348
ORAN;ORAN;31A;ESCUELA Nº 4275 OSVALDO BURELA;2893;348
ORAN;ORAN;31A;ESCUELA Nº 4763 HUGO ALBERTO LUNA;2897;348
ORAN;ORAN;31A;ESCUELA Nº 4763 HUGO ALBERTO LUNA;2898;348
ORAN;ORAN;31A;ESCUELA Nº 4763 HUGO ALBERTO LUNA;2903;348
ORAN;ORAN;31A;ESCUELA Nº 4763 HUGO ALBERTO LUNA;2904;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2906;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2907;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2908;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2909;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2911;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2914;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2915;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2916;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5089;2917;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5175 MACACHA GÜEMES;2921;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5175 MACACHA GÜEMES;2923;348
ORAN;ORAN;31B;COLEGIO SECUNDARIO Nº 5175 MACACHA GÜEMES;2925;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2931;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2933;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2936;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2937;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2938;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2939;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2940;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2942;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2943;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2945;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2946;348
ORAN;ORAN;31B;ESCUELA Nº 4139 OSVALDO POS;2950;348
ORAN;ORAN;31B;ESCUELA Nº 4271 FRAY ARISTIDES A. NIBI;2952;348
ORAN;ORAN;31B;ESCUELA Nº 4271 FRAY ARISTIDES A. NIBI;2954;348
ORAN;ORAN;31B;ESCUELA Nº 4271 FRAY ARISTIDES A. NIBI;2955;348
ORAN;ORAN;31B;ESCUELA Nº 4271 FRAY ARISTIDES A. NIBI;2958;348
ORAN;ORAN;31B;ESCUELA Nº 4271 FRAY ARISTIDES A. NIBI;2960;348
ORAN;ORAN;31B;ESCUELA Nº 4271 FRAY ARISTIDES A. NIBI;2961;348
ORAN;ORAN;31B;ESCUELA Nº 4586 LIDIA R. M. DE SIDORENKO;2964;348
ORAN;ORAN;31B;ESCUELA Nº 4586 LIDIA R. M. DE SIDORENKO;2967;348
ORAN;ORAN;31B;ESCUELA Nº 4586 LIDIA R. M. DE SIDORENKO;2968;348
ORAN;ORAN;31B;ESCUELA Nº 4586 LIDIA R. M. DE SIDORENKO;2974;348
ORAN;ORAN;31B;ESCUELA Nº 4586 LIDIA R. M. DE SIDORENKO;2975;348
ORAN;ORAN;31B;ESCUELA Nº 4586 LIDIA R. M. DE SIDORENKO;2977;348
RIVADAVIA;RIV. B. NORTE;28B;COLEGIO SECUNDARIO Nº 5041 NTRA. SRA. DE FATIMA;2726;348
