departamento;municipio;circuito;establecimiento;mesa;electores
ANTA;J. V. GONZALEZ;24A;ESCUELA Nº 4293 SANTO DOMINGO DE GUZMÁN;2622;343
ANTA;J. V. GONZALEZ;24A;ESCUELA Nº 4498 PROF. PEDRO B. PALACIOS;2635;343
ANTA;J. V. GONZALEZ;24A;ESCUELA Nº 4498 PROF. PEDRO B. PALACIOS;2646;343
CACHI;CACHI;89B;ESCUELA Nº 4063 DR.VICTORINO DE LA PLAZA;3968;343
CACHI;CACHI;89B;ESCUELA Nº 4063 DR.VICTORINO DE LA PLAZA;3972;343
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1092;343
CAPITAL;SALTA;2A;E.E.T. Nº 3139 GRAL. MARTIN M. DE GÜEMES;1109;343
CAPITAL;SALTA;2D;ESCUELA Nº 4644 ALTE. GUILLERMO BROWN;1181;343
CAPITAL;SALTA;2G;ESCUELA Nº 4316 JUANA AZURDUY DE PADILLA;1211;343
CAPITAL;SALTA;2G;ESCUELA Nº 4316 JUANA AZURDUY DE PADILLA;1212;343
CAPITAL;SALTA;2G;ESCUELA Nº 4316 JUANA AZURDUY DE PADILLA;1213;343
CAPITAL;SALTA;2G;ESCUELA Nº 4316 JUANA AZURDUY DE PADILLA;1216;343
CAPITAL;SALTA;2G;ESCUELA Nº 4316 JUANA AZURDUY DE PADILLA;1217;343
CAPITAL;SALTA;2G;ESCUELA Nº 4645 25 DE MAYO DE 1810;1221;343
CAPITAL;SALTA;2G;ESCUELA Nº 4645 25 DE MAYO DE 1810;1224;343
CAPITAL;SALTA;2G;ESCUELA Nº 4645 25 DE MAYO DE 1810;1225;343
CAPITAL;SALTA;2G;ESCUELA Nº 4660 HOGAR CARMEN PUCH DE GÜEMES;1228;343
CAPITAL;SALTA;2G;ESCUELA Nº 4660 HOGAR CARMEN PUCH DE GÜEMES;1229;343
CAPITAL;SALTA;2G;ESCUELA Nº 4660 HOGAR CARMEN PUCH DE GÜEMES;1231;343
CAPITAL;SALTA;2I;ESCUELA Nº 4005 JUAN CARLOS DAVALOS;1244;343
CAPITAL;SALTA;2I;ESCUELA Nº 4005 JUAN CARLOS DAVALOS;1246;343
CAPITAL;SALTA;2I;ESCUELA Nº 4005 JUAN CARLOS DAVALOS;1247;343
CAPITAL;SALTA;2I;ESCUELA Nº 4005 JUAN CARLOS DAVALOS;1252;343
CAPITAL;SALTA;2I;ESCUELA Nº 4005 JUAN CARLOS DAVALOS;1254;343
CAPITAL;SALTA;2I;ESCUELA Nº 4006 AMERICA LATINA;1257;343
CAPITAL;SALTA;2I;ESCUELA Nº 4006 AMERICA LATINA;1259;343
CAPITAL;SALTA;2I;ESCUELA Nº 4006 AMERICA LATINA;1262;343
CAPITAL;SALTA;2I;ESCUELA Nº 4006 AMERICA LATINA;1264;343
CAPITAL;SALTA;2J;ESCUELA Nº 4034 SANTA LUCIA;1267;343
CAPITAL;SALTA;2J;ESCUELA Nº 4034 SANTA LUCIA;1268;343
CAPITAL;SALTA;2J;ESCUELA Nº 4034 SANTA LUCIA;1269;343
CAPITAL;SALTA;2J;ESCUELA Nº 4034 SANTA LUCIA;1271;343
CAPITAL;SALTA;2J;ESCUELA Nº 4034 SANTA LUCIA;1274;343
CAPITAL;SALTA;2J;ESCUELA Nº 4040 MERCEDES LAVIN;1281;343
CAPITAL;SALTA;2J;ESCUELA Nº 4040 MERCEDES LAVIN;1282;343
CAPITAL;SALTA;2J;ESCUELA Nº 8036 EVARISTO PIÑON ARIAS;1288;343
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1293;343
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1297;343
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1299;343
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1300;343
CAPITAL;SALTA;2N;ESCUELA Nº 4009 9 DE JULIO DE 1816;1351;343
CAPITAL;SALTA;2N;ESCUELA Nº 4009 9 DE JULIO DE 1816;1357;343
CAPITAL;SALTA;2Q;ESCUELA Nº 4023 EJERCITO ARGENTINO;1437;343
CAPITAL;SALTA;3A;E.E.T. Nº 3141 B°CIUDAD DEL MILAGRO;1455;343
CAPITAL;SALTA;3A;E.E.T. Nº 3141 B°CIUDAD DEL MILAGRO;1456;343
CAPITAL;SALTA;3A;E.E.T. Nº 3141 B°CIUDAD DEL MILAGRO;1459;343
CAPITAL;SALTA;3A;E.E.T. Nº 3141 B°CIUDAD DEL MILAGRO;1461;343
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1464;343
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1469;343
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1470;343
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1472;343
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1474;343
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1477;343
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1478;343
CAPITAL;SALTA;3A;ESCUELA Nº 4032 LEOPOLDO LUGONES;1481;343
CAPITAL;SALTA;3A;ESCUELA Nº 4032 LEOPOLDO LUGONES;1483;343
CAPITAL;SALTA;3A;ESCUELA Nº 4032 LEOPOLDO LUGONES;1485;343
CAPITAL;SALTA;3A;ESCUELA Nº 4032 LEOPOLDO LUGONES;1487;343
CAPITAL;SALTA;3A;ESCUELA Nº 4817 Bº JUAN PABLO II;1492;343
CAPITAL;SALTA;3A;ESCUELA Nº 4817 Bº JUAN PABLO II;1495;343
CAPITAL;SALTA;3A;ESCUELA Nº 4817 Bº JUAN PABLO II;1496;343
CAPITAL;SALTA;3A;ESCUELA Nº 4817 Bº JUAN PABLO II;1498;343
CAPITAL;SALTA;3A;ESCUELA Nº 4817 Bº JUAN PABLO II;1499;343
CAPITAL;SALTA;3D;COLEGIO Nº 5147 DR. SALVADOR MAZZA;1599;343
CAPITAL;SALTA;3D;COLEGIO Nº 5147 DR. SALVADOR MAZZA;1600;343
CAPITAL;SALTA;3D;COLEGIO Nº 5147 DR. SALVADOR MAZZA;1605;343
CAPITAL;SALTA;3D;ESCUELA Nº 4018 DR. JOSE VICENTE SOLA;1611;343
CAPITAL;SALTA;3G;E.E.T. Nº 3100 REPUBLICA DE LA INDIA;1661;343
CAPITAL;SALTA;5E;ESCUELA Nº 4048 PROVINCIA DE SALTA;1985;343
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2028;343
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2034;343
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2035;343
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2037;343
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2038;343
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2039;343
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2040;343
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2042;343
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2046;343
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2048;343
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2049;343
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2055;343
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2059;343
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2062;343
CAPITAL;SALTA;5G;COLEGIO SECUNDARIO Nº 5033 ERNESTO ARAOZ;2067;343
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2087;343
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2088;343
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2092;343
CAPITAL;SALTA;6A;COLEGIO Nº 5167 DR. MIGUEL RAGONE;2256;343
CAPITAL;SALTA;6A;COLEGIO Nº 5167 DR. MIGUEL RAGONE;2260;343
CAPITAL;SALTA;6A;ESCUELA Nº 4642 CAMPAÑA DEL DESIERTO;2263;343
CAPITAL;SALTA;6A;ESCUELA Nº 4642 CAMPAÑA DEL DESIERTO;2264;343
CAPITAL;SALTA;6A;ESCUELA Nº 4642 CAMPAÑA DEL DESIERTO;2266;343
CERRILLOS;CERRILLOS;52A;E. E. T. Nº 3150 PACTO DE LOS CERRILLOS;3579;343
CERRILLOS;CERRILLOS;52A;E. E. T. Nº 3150 PACTO DE LOS CERRILLOS;3580;343
CERRILLOS;CERRILLOS;52A;E. E. T. Nº 3150 PACTO DE LOS CERRILLOS;3581;343
CERRILLOS;CERRILLOS;52A;ESCUELA Nº 4069 GOBERNADOR MANUEL SOLA;3583;343
CERRILLOS;CERRILLOS;52A;ESCUELA Nº 4069 GOBERNADOR MANUEL SOLA;3584;343
CERRILLOS;CERRILLOS;52A;ESCUELA Nº 4069 GOBERNADOR MANUEL SOLA;3586;343
CERRILLOS;CERRILLOS;52A;ESCUELA Nº 4069 GOBERNADOR MANUEL SOLA;3591;343
CERRILLOS;CERRILLOS;53A;ESCUELA Nº 4319 MARCOS SASTRE;3624;343
CHICOANA;EL CARRIL;58A;ESCUELA Nº 4281 MANUEL J. CASTILLA;3730;343
GENERAL GÜEMES;EL BORDO;10A;E.E.T. Nº 3159 DR. DARIO FELIPE ARIAS;2315;343
GENERAL GÜEMES;EL BORDO;10A;E.E.T. Nº 3159 DR. DARIO FELIPE ARIAS;2317;343
GENERAL GÜEMES;EL BORDO;10A;ESCUELA Nº 4066 CNEL.APOLINARIO SARAVIA;2321;343
GENERAL GÜEMES;EL BORDO;10A;ESCUELA Nº 4066 CNEL.APOLINARIO SARAVIA;2327;343
LA CALDERA;VAQUEROS;9A;COLEGIO SECUNDARIO Nº 5050;2288;343
LOS ANDES;S. A. DE LOS COBRES;100A;ESCUELA Nº 4661 HOGAR CARLOS GUIDO SPANO;4117;343
METAN;METAN;15D;ESCUELA Nº 4439 GUILLERMO SIERRA;2507;343
ORAN;COL. STA. ROSA;34A;ESCUELA Nº 4628 DR. JOSE BENITO GRAÑA;3039;343
ORAN;COL. STA. ROSA;34A;ESCUELA Nº 4628 DR. JOSE BENITO GRAÑA;3040;343
RIVADAVIA;RIV. B. NORTE;28B;COLEGIO SECUNDARIO Nº 5041 NTRA. SRA. DE FATIMA;2725;343
RIVADAVIA;RIV. B. NORTE;28B;ESCUELA Nº 4485 CNEL. JUAN SOLA;2728;343
R. DE LA FRONTERA;EL POTRERO;71A;ESCUELA Nº 4116 CESAR ALBERTO TORINO;3854;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA DE COM. Nº 5009 NTRA. SRA. DEL ROSARIO;3778;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA DE COM. Nº 5009 NTRA. SRA. DEL ROSARIO;3784;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4101 MARTINA S. DE GURRUCHAGA;3788;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4101 MARTINA S. DE GURRUCHAGA;3789;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4101 MARTINA S. DE GURRUCHAGA;3790;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4101 MARTINA S. DE GURRUCHAGA;3792;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4104 PACHI GORRITI;3798;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4104 PACHI GORRITI;3801;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4104 PACHI GORRITI;3805;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4127 MANUELA PEDRAZA;3811;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4127 MANUELA PEDRAZA;3814;343
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4127 MANUELA PEDRAZA;3815;343
R. DE LERMA;CAMPO QUIJANO;93A;COLEGIO SEC. Nº 5086 CNEL. JULIO S. JOVANOVICS;4052;343
R. DE LERMA;CAMPO QUIJANO;93A;COLEGIO SEC. Nº 5086 CNEL. JULIO S. JOVANOVICS;4055;343
R. DE LERMA;CAMPO QUIJANO;93A;E.E.T. Nº 3106 ING.RICARDO MAURY;4069;343
R. DE LERMA;CAMPO QUIJANO;93A;E.E.T. Nº 3106 ING.RICARDO MAURY;4075;343
R. DE LERMA;CAMPO QUIJANO;93A;ESCUELA Nº 4398 GENERAL BARTOLOME MITRE;4058;343
R. DE LERMA;CAMPO QUIJANO;93A;ESCUELA Nº 4398 GENERAL BARTOLOME MITRE;4059;343
R. DE LERMA;CAMPO QUIJANO;93A;ESCUELA Nº 4398 GENERAL BARTOLOME MITRE;4066;343
SAN MARTIN;AGUARAY;44A;ESCUELA Nº 4440 MARIA AGAPITO TORO DE LAHUD;3438;343
SAN MARTIN;EMBARCACION;40A;ESCUELA Nº 4363 BERNARDINO RIVADAVIA;3142;343
SAN MARTIN;EMBARCACION;40A;ESCUELA Nº 4363 BERNARDINO RIVADAVIA;3145;343
SAN MARTIN;EMBARCACION;40A;ESCUELA Nº 4363 BERNARDINO RIVADAVIA;3149;343
SAN MARTIN;EMBARCACION;40A;INSTITUTO Nº 8051 JUAN CARLOS DAVALOS;3164;343
SAN MARTIN;EMBARCACION;40A;INSTITUTO Nº 8051 JUAN CARLOS DAVALOS;3165;343
SAN MARTIN;GRAL. MOSCONI;42C;ESCUELA Nº 4142 CNEL. JORGE ENRIQUE VIDT;3206;343
SAN MARTIN;GRAL. MOSCONI;42C;ESCUELA Nº 4142 CNEL. JORGE ENRIQUE VIDT;3210;343
SAN MARTIN;GRAL. MOSCONI;42C;ESCUELA Nº 4142 CNEL. JORGE ENRIQUE VIDT;3211;343
SAN MARTIN;GRAL. MOSCONI;42C;ESCUELA Nº 4496 LILIA M. CARDOZO DE MARIÑO;3222;343
SAN MARTIN;GRAL. MOSCONI;42C;ESCUELA Nº 4496 LILIA M. CARDOZO DE MARIÑO;3223;343
SAN MARTIN;GRAL. MOSCONI;42C;ESCUELA Nº 4496 LILIA M. CARDOZO DE MARIÑO;3227;343
SAN MARTIN;GRAL. MOSCONI;42C;ESCUELA Nº 4496 LILIA M. CARDOZO DE MARIÑO;3229;343
SAN MARTIN;GRAL. MOSCONI;42C;ESCUELA Nº 4816 BICENTENARIO DE LA PATRIA;3234;343
SAN MARTIN;TARTAGAL;43A;COLEGIO Nº 8094 INSTITUTO SAN FRANCISCO;3246;343
SAN MARTIN;TARTAGAL;43A;COLEGIO Nº 8094 INSTITUTO SAN FRANCISCO;3256;343
SAN MARTIN;TARTAGAL;43A;E. E. T. Nº 3135;3287;343
SAN MARTIN;TARTAGAL;43A;ESCUELA DE COM. Nº 5002 ALEJANDRO AGUADO;3297;343
SAN MARTIN;TARTAGAL;43A;ESCUELA DE COM. Nº 5002 ALEJANDRO AGUADO;3299;343
SAN MARTIN;TARTAGAL;43A;ESCUELA DE COM. Nº 5002 ALEJANDRO AGUADO;3302;343
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4096 CNEL. VICENTE DE URIBURU;3311;343
SAN MARTIN;TARTAGAL;43A;ESCUELA Nº 4460 GRAL. MANUEL BELGRANO;3336;343
SAN MARTIN;TARTAGAL;43B;ESCUELA Nº 4098 CORNELIO SAAVEDRA;3346;343
SAN MARTIN;TARTAGAL;43C;COLEGIO SEC. Nº 5077 DR. JESUS MIGUEL REYES;3359;343
SAN MARTIN;TARTAGAL;43C;COLEGIO SEC. Nº 5077 DR. JESUS MIGUEL REYES;3361;343
SAN MARTIN;TARTAGAL;43C;COLEGIO SEC. Nº 5077 DR. JESUS MIGUEL REYES;3363;343
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2050;344
CAPITAL;SALTA;6A;COLEGIO Nº 5167 DR. MIGUEL RAGONE;2259;344
R. DE LA FRONTERA;R. DE LA FRONTERA;67A;ESCUELA Nº 4127 MANUELA PEDRAZA;3812;344
SAN MARTIN;GRAL. MOSCONI;42C;ESCUELA Nº 4496 LILIA M. CARDOZO DE MARIÑO;3221;344
ANTA;EL QUEBRACHAL;25A;ESCUELA Nº 4669 JUAN PABLO II;2673;344
ANTA;J. V. GONZALEZ;24A;COLEGIO SECUNDARIO Nº 5098 DR. JOAQUIN V. GONZALEZ;2609;344
ANTA;J. V. GONZALEZ;24A;ESCUELA Nº 4498 PROF. PEDRO B. PALACIOS;2637;344
ANTA;J. V. GONZALEZ;24A;ESCUELA Nº 4498 PROF. PEDRO B. PALACIOS;2642;344
ANTA;J. V. GONZALEZ;24A;ESCUELA Nº 4498 PROF. PEDRO B. PALACIOS;2644;344
ANTA;J. V. GONZALEZ;24A;ESCUELA Nº 4498 PROF. PEDRO B. PALACIOS;2647;344
ANTA;J. V. GONZALEZ;24A;ESCUELA Nº 4498 PROF. PEDRO B. PALACIOS;2648;344
ANTA;J. V. GONZALEZ;24A;ESCUELA Nº 4498 PROF. PEDRO B. PALACIOS;2650;344
CAPITAL;SALTA;1G;ESCUELA Nº 4021 20 DE FEBRERO DE 1813;1091;344
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1098;344
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1103;344
CAPITAL;SALTA;1G;ESCUELA Nº 4027 DR. BENJAMIN DAVALOS Y AVILES;1105;344
CAPITAL;SALTA;2A;ESCUELA Nº 4002 MARIANO CABEZON;1120;344
CAPITAL;SALTA;2D;COLEGIO SECUNDARIO Nº 5046 JUAN CALCHAQUI;1159;344
CAPITAL;SALTA;2G;ESCUELA Nº 4316 JUANA AZURDUY DE PADILLA;1206;344
CAPITAL;SALTA;2G;ESCUELA Nº 4316 JUANA AZURDUY DE PADILLA;1207;344
CAPITAL;SALTA;2G;ESCUELA Nº 4316 JUANA AZURDUY DE PADILLA;1208;344
CAPITAL;SALTA;2G;ESCUELA Nº 4316 JUANA AZURDUY DE PADILLA;1209;344
CAPITAL;SALTA;2G;ESCUELA Nº 4316 JUANA AZURDUY DE PADILLA;1210;344
CAPITAL;SALTA;2G;ESCUELA Nº 4645 25 DE MAYO DE 1810;1226;344
CAPITAL;SALTA;2G;ESCUELA Nº 4660 HOGAR CARMEN PUCH DE GÜEMES;1227;344
CAPITAL;SALTA;2I;ESCUELA Nº 4005 JUAN CARLOS DAVALOS;1242;344
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1294;344
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1295;344
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1296;344
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1298;344
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1302;344
CAPITAL;SALTA;2K;ESCUELA Nº 4014 SAN JOSE;1303;344
CAPITAL;SALTA;2K;ESCUELA Nº 8136 LA SAGRADA FAMILIA;1305;344
CAPITAL;SALTA;2K;ESCUELA Nº 8136 LA SAGRADA FAMILIA;1307;344
CAPITAL;SALTA;2M;ESCUELA Nº 4028 BRIG.GRAL. J.A.ALVAREZ DE ARENALES;1325;344
CAPITAL;SALTA;2M;ESCUELA Nº 4028 BRIG.GRAL. J.A.ALVAREZ DE ARENALES;1332;344
CAPITAL;SALTA;2M;ESCUELA Nº 4028 BRIG.GRAL. J.A.ALVAREZ DE ARENALES;1336;344
CAPITAL;SALTA;2M;INSTITUTO Nº 8053 LA INMACULADA.;1339;344
CAPITAL;SALTA;2M;INSTITUTO Nº 8053 LA INMACULADA.;1344;344
CAPITAL;SALTA;2M;INSTITUTO Nº 8053 LA INMACULADA.;1345;344
CAPITAL;SALTA;2N;ESCUELA Nº 4009 9 DE JULIO DE 1816;1358;344
CAPITAL;SALTA;2N;ESCUELA Nº 4039 PCIA. DE BUENOS AIRES;1369;344
CAPITAL;SALTA;2Q;COLEGIO SECUNDARIO Nº 5024 SARG. CABRAL;1418;344
CAPITAL;SALTA;2Q;COLEGIO SECUNDARIO Nº 5024 SARG. CABRAL;1427;344
CAPITAL;SALTA;2Q;COLEGIO SECUNDARIO Nº 5024 SARG. CABRAL;1428;344
CAPITAL;SALTA;2Q;COLEGIO SECUNDARIO Nº 5024 SARG. CABRAL;1433;344
CAPITAL;SALTA;2Q;ESCUELA Nº 4023 EJERCITO ARGENTINO;1436;344
CAPITAL;SALTA;2Q;ESCUELA Nº 4023 EJERCITO ARGENTINO;1441;344
CAPITAL;SALTA;3A;E.E.T. Nº 3141 B°CIUDAD DEL MILAGRO;1453;344
CAPITAL;SALTA;3A;E.E.T. Nº 3141 B°CIUDAD DEL MILAGRO;1454;344
CAPITAL;SALTA;3A;E.E.T. Nº 3141 B°CIUDAD DEL MILAGRO;1460;344
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1463;344
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1465;344
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1468;344
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1471;344
CAPITAL;SALTA;3A;ESCUELA Nº 4031 PEDRO BONIFACIO PALACIOS;1473;344
CAPITAL;SALTA;3A;ESCUELA Nº 4032 LEOPOLDO LUGONES;1491;344
CAPITAL;SALTA;3A;ESCUELA Nº 4817 Bº JUAN PABLO II;1494;344
CAPITAL;SALTA;3C;ESCUELA Nº 4728 ALBA CORONEL DE PEREYRA ROZAS;1591;344
CAPITAL;SALTA;3I;COLEGIO POLIMODAL Nº 5159;1707;344
CAPITAL;SALTA;3I;ESCUELA Nº 4688 NTA. SEÑORA DE LA ASUNCION;1719;344
CAPITAL;SALTA;3I;ESCUELA Nº 4741 DR. GUSTAVO C. LEGUIZAMON;1729;344
CAPITAL;SALTA;3I;ESCUELA Nº 4741 DR. GUSTAVO C. LEGUIZAMON;1733;344
CAPITAL;SALTA;3I;ESCUELA Nº 4741 DR. GUSTAVO C. LEGUIZAMON;1737;344
CAPITAL;SALTA;3K;COLEGIO SECUNDARIO Nº 5049 25 DE MAYO;1768;344
CAPITAL;SALTA;3K;ESCUELA Nº 4010 SANTA MARIA EUFRASIA PELLETIER;1781;344
CAPITAL;SALTA;5A;COLEGIO SECUNDARIO Nº 5145 DR. RENE G. FAVALORO;1870;344
CAPITAL;SALTA;5A;ESCUELA Nº 4033 REPUBLICA ARGENTINA;1880;344
CAPITAL;SALTA;5D;ESCUELA Nº 4035 PROF. ALEJANDRO GAUFFIN;1949;344
CAPITAL;SALTA;5D;ESCUELA Nº 4035 PROF. ALEJANDRO GAUFFIN;1951;344
CAPITAL;SALTA;5D;ESCUELA Nº 4035 PROF. ALEJANDRO GAUFFIN;1957;344
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2030;344
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2031;344
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2032;344
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2033;344
CAPITAL;SALTA;5F;ESCUELA Nº 4691 ALTE. CRISTOBAL COLON;2041;344
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2044;344
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2045;344
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2051;344
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2052;344
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2053;344
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2057;344
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2060;344
CAPITAL;SALTA;5F;ESCUELA Nº 4699 DR. RICARDO DURAND;2061;344
CAPITAL;SALTA;5G;COLEGIO SECUNDARIO Nº 5033 ERNESTO ARAOZ;2065;344
CAPITAL;SALTA;5G;COLEGIO SECUNDARIO Nº 5033 ERNESTO ARAOZ;2070;344
CAPITAL;SALTA;5G;COLEGIO SECUNDARIO Nº 5033 ERNESTO ARAOZ;2072;344
CAPITAL;SALTA;5G;COLEGIO SECUNDARIO Nº 5033 ERNESTO ARAOZ;2073;344
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2079;344
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2080;344
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2085;344
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2086;344
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2089;344
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2090;344
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2091;344
CAPITAL;SALTA;5G;ESCUELA Nº 4037 M. SANCHEZ DE THOMPSON;2093;344
CAPITAL;SALTA;6A;COLEGIO Nº 5167 DR. MIGUEL RAGONE;2252;344
CAPITAL;SALTA;6A;COLEGIO Nº 5167 DR. MIGUEL RAGONE;2254;344
CAPITAL;SALTA;6A;COLEGIO Nº 5167 DR. MIGUEL RAGONE;2255;344
CAPITAL;SALTA;6A;COLEGIO Nº 5167 DR. MIGUEL RAGONE;2258;344
CAPITAL;SALTA;6A;COLEGIO Nº 5167 DR. MIGUEL RAGONE;2261;344
CAPITAL;SALTA;6A;ESCUELA Nº 4642 CAMPAÑA DEL DESIERTO;2262;344
CAPITAL;SALTA;6A;ESCUELA Nº 4642 CAMPAÑA DEL DESIERTO;2265;344
CAPITAL;SALTA;6A;ESCUELA Nº 4642 CAMPAÑA DEL DESIERTO;2267;344
CAPITAL;SALTA;6A;ESCUELA Nº 4642 CAMPAÑA DEL DESIERTO;2270;344
CAPITAL;SAN LORENZO;4A;COLEGIO SECUNDARIO Nº 5052 JUAN MANUEL DE ROSAS;1814;344
CERRILLOS;CERRILLOS;52A;E. E. T. Nº 3150 PACTO DE LOS CERRILLOS;3575;344
CERRILLOS;CERRILLOS;52A;E. E. T. Nº 3150 PACTO DE LOS CERRILLOS;3578;344
CERRILLOS;CERRILLOS;52A;ESCUELA Nº 4069 GOBERNADOR MANUEL SOLA;3585;344
CERRILLOS;CERRILLOS;52A;ESCUELA Nº 4069 GOBERNADOR MANUEL SOLA;3587;344
CERRILLOS;CERRILLOS;52A;ESCUELA Nº 4069 GOBERNADOR MANUEL SOLA;3588;344
